"Name","Code","Last","Change","%","Vol","Buy Vol","Buy Price","Sell Price","Sell Vol","Open","High","Low","Previous Close","Value","Sector","Remarks","Timestamp"
"2ndChance","528","0.365","-0.0050","-1.369863","414.0","75.0","0.36","0.365","30.0","0.375","0.375","0.365","0.37","153330.0","4",,"2011-08-10 15:01:01",
"800 Super","5TG","0.163","0.0030","1.8404908","935.0","100.0","0.161","0.163","30.0","0.165","0.165","0.162","0.16","152400.0","A",,"2011-08-10 15:01:01",
"8Telecom","E25","0.0","0.0","0.0","0.0","0.0","0.0","0.155","104.0","0.0","0.0","0.0","0.148","0.0","2",,"2011-08-10 15:01:01",
"A-Sonic","A53","0.056","-0.0020","-3.5714285","281.0","117.0","0.056","0.058","100.0","0.058","0.063","0.056","0.058","16897.0","A",,"2011-08-10 15:01:01",
"AA Grp","5GZ","0.0","0.0","0.0","0.0","15.0","0.029","0.04","100.0","0.0","0.0","0.0","0.037","0.0","2",,"2011-08-10 15:01:01",
"Abterra Ltd","L5I","1.02","-0.01","-0.98039216","78.0","8.0","0.98","1.02","61.0","1.02","1.02","1.01","1.03","79130.0","2",,"2011-08-10 15:01:01",
"ABF SG BOND ETF@","A35","0.0","0.0","0.0","0.0","10.0","1.175","0.0","0.0","0.0","0.0","0.0","1.17","0.0","8",,"2011-08-10 15:01:01",
"ABR","533","0.57","-0.01","-1.754386","27.0","50.0","0.575","0.585","6.0","0.57","0.57","0.57","0.58","15390.0","6",,"2011-08-10 15:01:01",
"Ace Achieve","A75","0.036","-0.0020","-5.555556","770.0","100.0","0.035","0.036","37.0","0.035","0.036","0.035","0.038","27450.0","7",,"2011-08-10 15:01:01",
"Achieva","A02","0.046","0.0010","2.173913","340.0","200.0","0.045","0.046","90.0","0.046","0.046","0.046","0.045","15640.0","4",,"2011-08-10 15:01:01",
"ActionAsia","A59","0.0","0.0","0.0","0.0","100.0","0.12","0.138","40.0","0.0","0.0","0.0","0.137","0.0","2",,"2011-08-10 15:01:01",
"ACH ADR 10US$","K3HD","0.0","0.0","0.0","0.0","1.8","18.63","18.76","0.4","0.0","0.0","0.0","18.72","0.0","2",,"2011-08-10 15:01:01",
"Adampak","5EZ","0.245","0.0","0.0","159.0","37.0","0.24","0.245","16.0","0.245","0.245","0.245","0.245","38955.0","2",,"2011-08-10 15:01:01",
"AddvalTech","A31","0.067","-0.0010","-1.4925373","9378.0","25.0","0.067","0.069","102.0","0.07","0.073","0.067","0.068","653324.0","A",,"2011-08-10 15:01:01",
"AdvaHldg","5IA","0.155","-0.0030","-1.9354839","99.0","6.0","0.154","0.157","91.0","0.153","0.155","0.153","0.158","15233.0","A",,"2011-08-10 15:01:01",
"Adventus","5EF","0.0","0.0","0.0","0.0","912.0","0.018","0.02","200.0","0.0","0.0","0.0","0.02","0.0","4",,"2011-08-10 15:01:01",
"AdvSCT","5FH","0.024","-0.0010","-4.1666665","2448.0","10.0","0.023","0.024","368.0","0.026","0.026","0.024","0.025","60668.0","A",,"2011-08-10 15:01:01",
"AdvSys","520","0.0","0.0","0.0","0.0","13699.0","0.0020","0.0040","2550.0","0.0","0.0","0.0","0.0030","0.0","2",,"2011-08-10 15:01:01",
"AEI Corp","A18","0.1","-0.0020","-2.0","719.0","281.0","0.095","0.1","135.0","0.102","0.102","0.095","0.102","69995.0","2",,"2011-08-10 15:01:01",
"AEM^","A10","0.038","0.0","0.0","321.0","179.0","0.038","0.039","220.0","0.039","0.039","0.038","0.038","12498.0","2",,"2011-08-10 15:01:01",
"AIM","A54","0.0","0.0","0.0","0.0","20.0","0.08","0.115","49.0","0.0","0.0","0.0","0.13","0.0","2","CD","2011-08-10 15:01:01",
"AIMSAMPIReit","BU5U","0.205","-0.0050","-2.4390244","7454.0","8210.0","0.2","0.205","99.0","0.2","0.21","0.2","0.21","1525540.0","9",,"2011-08-10 15:01:01",
"Albedo","5IB","0.0","0.0","0.0","0.0","85.0","0.027","0.034","42.0","0.0","0.0","0.0","0.031","0.0","4",,"2011-08-10 15:01:01",
