"Name","Code","Last","Change","%","Vol","Buy Vol","Buy Price","Sell Price","Sell Vol","Open","High","Low","Previous Close","Value","Sector","Remarks","Timestamp"
"Globa","G11","0.0050","0.0","0.0","1814.0","1824.0","0.0040","0.0080","880.0","0.0050","0.0050","0.0050","0.0050","9070.0","4",,"20110726_181655",
"Global Palm","K6J","0.285","-0.01","-3.508772","30.0","5.0","0.285","0.29","100.0","0.285","0.285","0.285","0.295","8550.0","B",,"20110726_181655",
"GlobalInv","B73","0.16","0.0020","1.25","291.0","129.0","0.158","0.16","540.0","0.158","0.16","0.158","0.158","46418.0","8",,"20110726_181655",
"GlobalMaster US$ S","CH9","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","8",,"20110726_181655",
"GlobalTest","G31","0.069","0.0","0.0","200.0","389.0","0.068","0.07","525.0","0.07","0.07","0.069","0.069","13900.0","A",,"20110726_181655",
"GLD 10US$@","O87","157.0","-0.53","-0.3375796","7.0","0.02","156.8","157.0","6.0","157.71","157.71","156.7","157.53","1099484.0","8",,"20110726_181655",
"GLP","MC0","2.0","-0.03","-1.5","6641.0","285.0","2.0","2.01","56.0","2.04","2.04","2.0","2.03","1.333899E7","9",,"20110726_181655",
"GMG","5IM","0.26","0.0050","1.923077","10205.0","3085.0","0.255","0.26","303.0","0.255","0.265","0.255","0.255","2641250.0","B",,"20110726_181655",
"Golden Ocean","KU3","0.0","0.0","0.0","0.0","6.0","1.2","1.22","6.0","0.0","0.0","0.0","1.2","0.0","7",,"20110726_181655",
"GoldenAgr","E5H","0.72","-0.0050","-0.6944444","75209.0","14336.0","0.715","0.72","1016.0","0.73","0.73","0.715","0.725","5.4324092E7","B",,"20110726_181655",
"GoldenAgr.ES.1107@","OD3","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.68","0.0","5",,"20110726_181655",
"GoldenAgr.ES.1108@","OQ5","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","5",,"20110726_181655",
"Goldtron","536","0.0020","-0.0010","-50.0","3200.0","65347.0","0.0020","0.0030","6241.0","0.0030","0.0030","0.0020","0.0030","8900.0","2",,"20110726_181655",
"Goodland","5PC","0.0","0.0","0.0","0.0","20.0","0.275","0.285","50.0","0.0","0.0","0.0","0.29","0.0","9",,"20110726_181655",
"Goodpack","G05","1.85","0.0","0.0","222.0","4.0","1.845","1.85","24.0","1.85","1.85","1.845","1.85","410620.0","A",,"20110726_181655",
"GP Bat","G08","0.0","0.0","0.0","0.0","8.0","1.22","1.23","10.0","0.0","0.0","0.0","1.23","0.0","2","CD","20110726_181655",
"GP Ind","G20","0.515","0.0","0.0","40.0","177.0","0.51","0.52","225.0","0.515","0.515","0.515","0.515","20600.0","2","CD","20110726_181655",
"GrandBanks","G50","0.365","0.035","9.589041","6.0","50.0","0.29","0.365","1.0","0.285","0.365","0.265","0.33","1760.0","2",,"20110726_181655",
"Great Group","I5H","0.19","0.01","5.263158","5.0","50.0","0.185","0.19","55.0","0.19","0.19","0.19","0.18","950.0","2",,"20110726_181655",
"GreatEast","G07","14.75","0.05","0.33898306","13.0","3.0","14.74","14.79","2.0","14.74","14.79","14.74","14.7","191970.0","8",,"20110726_181655",
"GRP","G18","0.19","-0.02","-10.526316","7.0","33.0","0.19","0.21","63.0","0.185","0.19","0.185","0.21","1320.0","4",,"20110726_181655",
"GuangzhaoIFB","G21","0.03","0.0","0.0","593.0","56.0","0.03","0.031","600.0","0.03","0.03","0.029","0.03","17596.0","B",,"20110726_181655",
"GulTech","G09","0.095","0.013","13.684212","997.0","30.0","0.091","0.095","294.0","0.088","0.095","0.085","0.082","90010.0","2",,"20110726_181655",
"GuocoLand","F17","2.15","0.0","0.0","169.0","22.0","2.15","2.16","55.0","2.17","2.17","2.15","2.15","364750.0","9",,"20110726_181655",
"GuocoLeisure","B16","0.72","0.0","0.0","607.0","118.0","0.715","0.72","77.0","0.715","0.72","0.715","0.72","435810.0","1",,"20110726_181655",
"GuthrieG","G33","0.485","0.0050","1.0309278","310.0","2.0","0.485","0.49","145.0","0.48","0.485","0.475","0.48","149110.0","4",,"20110726_181655",
"Hafary","5PP","0.235","-0.0050","-2.1276596","10.0","20.0","0.235","0.25","10.0","0.235","0.235","0.235","0.24","2350.0","4",,"20110726_181655",
"Hai Leck","GG7","0.0","0.0","0.0","0.0","48.0","0.24","0.26","45.0","0.0","0.0","0.0","0.25","0.0","A",,"20110726_181655",
"HanKore","B22","0.04","0.0","0.0","1645.0","982.0","0.039","0.04","1343.0","0.04","0.04","0.039","0.04","64160.0","A",,"20110726_181655",
"Harry s","5SS","0.0","0.0","0.0","0.0","20.0","0.12","0.14","5.0","0.0","0.0","0.0","0.139","0.0","6",,"20110726_181655",
"Hartawan","5FU","0.118","0.0","0.0","390.0","50.0","0.118","0.12","369.0","0.116","0.12","0.116","0.118","45800.0","7",,"20110726_181655",
"Haw Par","H02","6.1","-0.02","-0.32786885","65.0","8.0","6.09","6.11","5.0","6.11","6.12","6.09","6.12","396270.0","1",,"20110726_181655",
"Healthway","5NG","0.093","0.0070","7.526882","17384.0","33.0","0.093","0.094","493.0","0.086","0.094","0.086","0.086","1544225.0","A",,"20110726_181655",
"Heatec","5OR","0.3","-0.0050","-1.6666666","1333.0","20.0","0.27","0.3","74.0","0.295","0.3","0.295","0.305","393240.0","A",,"20110726_181655",
"Heeton","5DP","0.46","-0.01","-2.173913","100.0","1.0","0.475","0.48","30.0","0.46","0.46","0.46","0.47","46000.0","9",,"20110726_181655",
"Heng Long","F6Z","0.5","0.015","3.0","192.0","10.0","0.5","0.51","11.0","0.48","0.5","0.48","0.485","94710.0","2",,"20110726_181655",
"Hengxin","I85","0.24","0.0050","2.0833335","52.0","20.0","0.215","0.24","35.0","0.235","0.24","0.235","0.235","12320.0","2",,"20110726_181655",
"Hengyang","5PD","0.0","0.0","0.0","0.0","5.0","0.3","0.43","5.0","0.0","0.0","0.0","0.42","0.0","A",,"20110726_181655",
"Hersing","H28","0.255","0.0050","1.9607843","76.0","46.0","0.25","0.255","20.0","0.255","0.255","0.255","0.25","19380.0","A",,"20110726_181655",
"HG Metal","526","0.101","0.0010","0.990099","155.0","4.0","0.101","0.103","120.0","0.1","0.101","0.1","0.1","15536.0","4",,"20110726_181655",
"Hi-P","H17","0.93","0.02","2.1505377","90.0","3.0","0.925","0.93","10.0","0.905","0.93","0.905","0.91","83320.0","2",,"20110726_181655",
"Hiap Hoe","5JK","0.52","0.0","0.0","47.0","23.0","0.51","0.52","184.0","0.51","0.52","0.51","0.52","24020.0","9",,"20110726_181655",
"Hiap Seng","510","0.405","-0.0050","-1.2345679","81.0","130.0","0.405","0.41","33.0","0.41","0.41","0.405","0.41","32810.0","3","CD","20110726_181655",
"HiapTong","5PO","0.098","0.0050","5.102041","35.0","266.0","0.098","0.1","10.0","0.098","0.098","0.098","0.093","3430.0","7",,"20110726_181655",
"HISAKA","FV2","0.48","0.0","0.0","2299.0","45.0","0.475","0.48","483.0","0.48","0.485","0.48","0.48","1111830.0","2",,"20110726_181655",
"HKLand US$","H78","6.65","-0.04","-0.60150373","1797.0","2.0","6.64","6.65","106.0","6.65","6.69","6.61","6.69","1.19215E7","9",,"20110726_181655",
"HL Asia","H22","2.22","-0.03","-1.3513514","245.0","19.0","2.22","2.23","29.0","2.21","2.24","2.21","2.25","546310.0","2",,"20110726_181655",
"HL Fin","S41","2.75","0.01","0.36363637","40.0","5.0","2.74","2.75","1.0","2.76","2.77","2.74","2.74","110350.0","8",,"20110726_181655",
"HL Global","L18","0.0","0.0","0.0","0.0","20.0","0.051","0.053","25.0","0.0","0.0","0.0","0.051","0.0","6",,"20110726_181655",
"HLH","H27","0.024","0.0","0.0","1249.0","501.0","0.024","0.025","1040.0","0.024","0.024","0.024","0.024","29976.0","3",,"20110726_181655",
"HLN Tech","5HH","0.0","0.0","0.0","0.0","100.0","0.205","0.24","10.0","0.0","0.0","0.0","0.225","0.0","2",,"20110726_181655",
"HMI","588","0.112","0.0010","0.89285713","252.0","112.0","0.111","0.112","18.0","0.111","0.112","0.111","0.111","28062.0","A",,"20110726_181655",
"HMIN ADR 10US$+","K3UD","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","44.28","0.0","6",,"20110726_181655",
"HNP ADR 10US$","K3FD","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","20.33","0.0","D",,"20110726_181655",
"Ho Bee","H13","1.405","-0.0050","-0.3558719","112.0","78.0","1.405","1.41","23.0","1.41","1.41","1.4","1.41","157505.0","9",,"20110726_181655",
"Ho Bee.ES.1107@","OD4","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","5",,"20110726_181655",
"Ho Bee.ES.1108@","OQ4","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","5",,"20110726_181655",
"Ho Royal","H12","2.31","0.01","0.43290043","76.0","7.0","2.3","2.35","2.0","2.3","2.34","2.3","2.3","175820.0","6",,"20110726_181655",
"HockLianSeng","J2T","0.0","0.0","0.0","0.0","120.0","0.28","0.285","264.0","0.0","0.0","0.0","0.28","0.0","3",,"20110726_181655",
"Hoe Leong","H20","0.305","0.0","0.0","3228.0","130.0","0.295","0.305","14.0","0.3","0.305","0.3","0.305","968405.0","4",,"20110726_181655",
"HoGCen","H18","0.76","0.0","0.0","34.0","8.0","0.76","0.77","14.0","0.76","0.765","0.76","0.76","25915.0","6",,"20110726_181655",
"HongFok","H30","0.55","-0.0050","-0.9090909","220.0","25.0","0.545","0.555","29.0","0.555","0.56","0.55","0.555","122400.0","9",,"20110726_181655",
"Hongwei","H80","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.185","0.0","2",,"20110726_181655",
"Hor Kew","H06","0.0","0.0","0.0","0.0","201.0","0.057","0.061","50.0","0.0","0.0","0.0","0.055","0.0","3",,"20110726_181655",
"Hosen","5EV","0.0","0.0","0.0","0.0","50.0","0.102","0.12","10.0","0.0","0.0","0.0","0.102","0.0","4",,"20110726_181655",
"Hotung","NT1","0.149","0.0030","2.0134227","571.0","234.0","0.149","0.15","1168.0","0.146","0.149","0.145","0.146","84549.0","8",,"20110726_181655",
"HPH Trust US$","NS8U","0.795","0.0050","0.6289308","46885.0","25.0","0.795","0.8","6470.0","0.79","0.805","0.785","0.79","3.725586E7","7",,"20110726_181655",
"HPL","H15","2.27","0.02","0.88105726","40.0","12.0","2.25","2.27","10.0","2.23","2.27","2.21","2.25","90050.0","1",,"20110726_181655",
"HrGlass","E5P","1.25","0.01","0.8","89.0","5.0","1.24","1.255","8.0","1.235","1.25","1.23","1.24","110260.0","4","CD","20110726_181655",
"HsuFuChi","AS5","4.25","0.0","0.0","115.0","31.0","4.24","4.25","71.0","4.25","4.25","4.25","4.25","488750.0","2",,"20110726_181655",
"HSR 500","502","0.0","0.0","0.0","0.0","50.0","0.26","0.3","30.0","0.0","0.0","0.0","0.255","0.0","2",,"20110726_181655",
"HTL Int","H64","0.45","0.0","0.0","130.0","32.0","0.44","0.45","27.0","0.45","0.45","0.45","0.45","58500.0","2",,"20110726_181655",
"Hu An","KI3","0.29","0.0","0.0","45.0","12.0","0.29","0.295","281.0","0.29","0.29","0.29","0.29","13050.0","2",,"20110726_181655",
"Hu An 100","OH2","0.0","0.0","0.0","0.0","0.1","0.275","0.285","0.6","0.0","0.0","0.0","0.28","0.0","2",,"20110726_181655",
"HuanHsin","H16","0.148","0.0030","2.0270271","55.0","5.0","0.148","0.155","15.0","0.147","0.148","0.147","0.145","8120.0","2",,"20110726_181655",
"Hup Soon","5JY","0.14","0.0030","2.1428573","40.0","18.0","0.14","0.15","1.0","0.13","0.14","0.13","0.137","5415.0","A",,"20110726_181655",
"HupSteel","H73","0.21","0.0","0.0","117.0","303.0","0.21","0.215","130.0","0.21","0.21","0.21","0.21","24570.0","4",,"20110726_181655",
"HwaHong","H19","0.505","0.0","0.0","110.0","74.0","0.505","0.51","43.0","0.5","0.505","0.5","0.505","55390.0","1",,"20110726_181655",
"Hyflux","600","2.0","-0.03","-1.5","2295.0","193.0","1.995","2.0","26.0","2.03","2.03","1.995","2.03","4610735.0","A",,"20110726_181655",
"Hyflux 6% CPS 10","N2H","106.8","0.0","0.0","4.04","0.2","106.8","106.85","0.18","106.8","106.8","106.8","106.8","431472.0","A",,"20110726_181655",
"IFS","I49","0.0","0.0","0.0","0.0","2.0","0.44","0.48","2.0","0.0","0.0","0.0","0.435","0.0","8",,"20110726_181655",
"Inch Kenneth","I4R","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","B",,"20110726_181655",
"Indiabulls","F3EU","0.215","0.025","11.627907","25.0","110.0","0.19","0.215","53.0","0.215","0.215","0.215","0.19","5375.0","9",,"20110726_181655",
"IndoAgri","5JS","1.57","0.01","0.6369426","2921.0","107.0","1.57","1.575","752.0","1.56","1.58","1.555","1.56","4584390.0","2",,"20110726_181655",
"IndoAgri.ES.1107@","OD5","0.0","0.0","0.0","0.0","0.0","0.0","1.6","4.0","0.0","0.0","0.0","1.58","0.0","5",,"20110726_181655",
"IndoAgri.ES.1108@","OQ3","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","5",,"20110726_181655",
"Infinio","5CS","0.0060","-0.0010","-16.666666","2150.0","200.0","0.0060","0.0070","8415.0","0.0060","0.0060","0.0050","0.0070","12850.0","A",,"20110726_181655",
"Informatics","I03","0.086","0.0040","4.6511626","2643.0","248.0","0.085","0.086","43.0","0.082","0.089","0.082","0.082","225740.0","A",,"20110726_181655",
"Inno-Pac","I26","0.0090","0.0010","11.111112","988.0","2.0","0.0090","0.01","774.0","0.0080","0.0090","0.0080","0.0080","8462.0","6",,"20110726_181655",
"InnoTek","M14","0.41","0.0","0.0","10.0","20.0","0.41","0.42","15.0","0.41","0.41","0.41","0.41","4100.0","2",,"20110726_181655",
"Innovalu","591","0.0","0.0","0.0","0.0","100.0","0.086","0.104","150.0","0.0","0.0","0.0","0.095","0.0","2",,"20110726_181655",
"Interra Res","5GI","0.145","-0.0050","-3.448276","113.0","224.0","0.145","0.152","50.0","0.15","0.15","0.145","0.15","16670.0","C",,"20110726_181655",
"Intraco","I06","0.0","0.0","0.0","0.0","30.0","0.265","0.3","59.0","0.0","0.0","0.0","0.27","0.0","1",,"20110726_181655",
"Inv Beve Biz EURO S","J0T","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","8",,"20110726_181655",
"Ipco","I11","0.014","0.0010","7.142857","700.0","900.0","0.013","0.014","5171.0","0.014","0.014","0.013","0.013","9500.0","3",,"20110726_181655",
"IP Cmdty.ETN.100US$@","J1QZ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","5",,"20110726_181655",
"IPC Corp","I12","0.141","0.0010","0.7092199","171.0","15.0","0.137","0.141","142.0","0.14","0.141","0.138","0.14","23981.0","9",,"20110726_181655",
"IPSCOM","571","0.0","0.0","0.0","0.0","30.0","0.042","0.051","20.0","0.0","0.0","0.0","0.049","0.0","2",,"20110726_181655",
"Isetan(S)","I15","0.0","0.0","0.0","0.0","3.0","3.65","3.78","1.0","0.0","0.0","0.0","3.7","0.0","4",,"20110726_181655",
"IS ASIA BND 100US$@","N6M","10.02","0.01","0.09980039","3.0","1.0","9.85","10.02","97.0","10.02","10.02","10.02","10.01","30060.0","8",,"20110726_181655",
"IS DJ USTECH 10US$@","I21","0.0","0.0","0.0","0.0","4.0","67.83","68.19","0.33","0.0","0.0","0.0","67.36","0.0","8",,"20110726_181655",
"IS LC BND 100US$@","N6L","10.11","0.02","0.19782394","172.8","25.0","10.12","10.15","100.0","10.09","10.11","10.09","10.09","1746818.0","8",,"20110726_181655",
"IS MSCI INDIA100US$@","I98","7.42","-0.16","-2.1563342","601.4","16.9","7.42","7.43","10.0","7.48","7.57","7.42","7.58","4502047.0","8",,"20110726_181655",
"IS MSCI SIN 100US$@","I19","14.29","0.62","4.3386984","0.6","20.0","14.32","14.38","20.0","14.29","14.29","14.29","13.67","8574.0","8",,"20110726_181655",
"IS S&P500 10US$@","I17","0.0","0.0","0.0","0.0","4.0","134.14","134.58","4.0","0.0","0.0","0.0","135.3","0.0","8",,"20110726_181655",
"ISDN","I07","0.172","0.0010","0.5813953","67.0","10.0","0.17","0.172","103.0","0.169","0.173","0.169","0.171","11365.0","A","XD","20110726_181655",
"ITech Grp","N6H","0.0","0.0","0.0","0.0","180.0","0.068","0.085","20.0","0.0","0.0","0.0","0.087","0.0","A",,"20110726_181655",
"ITE","581","0.0","0.0","0.0","0.0","230.0","0.038","0.048","200.0","0.0","0.0","0.0","0.04","0.0","4",,"20110726_181655",
"JacksInt","J11","0.0","0.0","0.0","0.0","111.0","0.08","0.12","117.0","0.0","0.0","0.0","0.1","0.0","4",,"20110726_181655",
"Jackspeed^","J17","0.123","0.0030","2.4390244","235.0","50.0","0.121","0.123","40.0","0.125","0.125","0.12","0.12","28940.0","2",,"20110726_181655",
"Jadason","J03","0.075","0.0010","1.3333333","22.0","10.0","0.072","0.075","18.0","0.072","0.075","0.072","0.074","1590.0","4",,"20110726_181655",
"JapanFood","5OI","0.0","0.0","0.0","0.0","3.0","0.33","0.36","40.0","0.0","0.0","0.0","0.36","0.0","6","CD","20110726_181655",
"Jardine C&C","C07","49.91","1.19","2.384292","221.0","3.0","49.86","49.96","8.0","48.85","50.06","48.85","48.72","1.0991156E7","4",,"20110726_181655",
"Jason Marine","5PF","0.0","0.0","0.0","0.0","15.0","0.137","0.155","45.0","0.0","0.0","0.0","0.153","0.0","A","CD","20110726_181655",
"JasperInv","FQ7","0.08","0.0010","1.25","245.0","7.0","0.079","0.08","685.0","0.08","0.08","0.079","0.079","19518.0","A",,"20110726_181655",
"Jaya Hldg","J10","0.575","0.01","1.7391305","155.0","5.0","0.57","0.575","20.0","0.565","0.575","0.565","0.565","88225.0","7",,"20110726_181655",
"JASO ADR 10US$+","N6AD","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2",,"20110726_181655",
"Jets Technics^","J19","0.0","0.0","0.0","0.0","250.0","0.012","0.015","217.0","0.0","0.0","0.0","0.012","0.0","2",,"20110726_181655",
"JEL Corp^","J16","0.0","0.0","0.0","0.0","531.0","0.012","0.015","700.0","0.0","0.0","0.0","0.015","0.0","4",,"20110726_181655",
"JEP","5FA","0.031","0.0","0.0","70.0","374.0","0.031","0.033","1085.0","0.031","0.031","0.031","0.031","2170.0","2",,"20110726_181655",
"JES","EG0","0.25","0.0050","2.0","4539.0","973.0","0.25","0.255","1517.0","0.245","0.255","0.245","0.245","1130195.0","2",,"20110726_181655",
"JiutianC","C8R","0.039","-0.0010","-2.5641026","298.0","587.0","0.039","0.043","398.0","0.04","0.04","0.039","0.04","11874.0","2",,"20110726_181655",
"JLJ","5OS","0.105","0.0040","3.809524","20.0","80.0","0.105","0.106","20.0","0.105","0.105","0.105","0.101","2100.0","2",,"20110726_181655",
"JMH 400US$","J36","58.0","0.05","0.0862069","152.8","0.8","57.8","58.0","31.2","57.4","58.4","57.4","57.95","8850228.0","4",,"20110726_181655",
"Joyas","E9L","0.0","0.0","0.0","0.0","412.0","0.012","0.014","617.0","0.0","0.0","0.0","0.013","0.0","2",,"20110726_181655",
"JSH 500US$","J37","34.26","1.08","3.1523647","98.0","1.0","33.4","34.8","0.5","34.3","34.3","32.81","33.18","3281185.0","4",,"20110726_181655",
"JTCn4.826%12102410k","J01Z","0.0","0.0","0.0","0.0","10.0","1.036","1.06","10.0","0.0","0.0","0.0","1.056","0.0","5",,"20110726_181655",
"Juken Tech","J15","0.159","0.0060","3.773585","922.0","12.0","0.159","0.16","355.0","0.153","0.159","0.153","0.153","144207.0","2",,"20110726_181655",
"JunmaTyre","5TF","0.0","0.0","0.0","0.0","5.0","0.35","0.42","8.0","0.0","0.0","0.0","0.385","0.0","2",,"20110726_181655",
"K-Green","LH4U","1.075","-0.0050","-0.46511626","443.0","196.0","1.075","1.08","523.0","1.075","1.08","1.075","1.08","476820.0","A","CD","20110726_181655",
"K-REIT","K71U","1.32","-0.0050","-0.37878788","519.0","320.0","1.32","1.325","143.0","1.325","1.33","1.32","1.325","688835.0","9","XD","20110726_181655",
"K1 Ventur","K01","0.139","-0.0010","-0.7194245","30.0","100.0","0.139","0.142","65.0","0.139","0.139","0.139","0.14","4170.0","8",,"20110726_181655",
"Karin","K29","0.23","0.0050","2.173913","60.0","153.0","0.23","0.235","154.0","0.23","0.23","0.23","0.225","13800.0","A",,"20110726_181655",
"KencanaAgri","F9M","0.0","0.0","0.0","0.0","100.0","0.395","0.4","50.0","0.0","0.0","0.0","0.39","0.0","B",,"20110726_181655",
"Kep Corp","BN4","11.28","0.05","0.44326243","4138.0","20.0","11.27","11.28","29.0","11.23","11.33","11.21","11.23","4.6698004E7","1","CD","20110726_181655",
"Kep Corp.ES.1107@","OD6","0.0","0.0","0.0","0.0","0.0","0.0","11.47","1.0","0.0","0.0","0.0","11.21","0.0","5","CD","20110726_181655",
"Kep Corp.ES.1108@","OQ2","0.0","0.0","0.0","0.0","1.0","11.29","0.0","0.0","0.0","0.0","0.0","0.0","0.0","5","CD","20110726_181655",
"KepLand","K17","3.81","-0.04","-1.0498688","2955.0","212.0","3.81","3.84","34.0","3.82","3.85","3.77","3.85","1.125518E7","9",,"20110726_181655",
"KepLand 1","N8U","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","3.62","0.0","9",,"20110726_181655",
"KepLand.ES.1107@","OD7","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","5",,"20110726_181655",
"KepLand.ES.1108@","OQ1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","5",,"20110726_181655",
"KepT&T","K11","1.425","0.03","2.1052632","882.0","38.0","1.41","1.425","36.0","1.39","1.43","1.39","1.395","1249885.0","A",,"20110726_181655",
"KhongGuan","K03","0.0","0.0","0.0","0.0","2.0","1.48","1.49","5.0","0.0","0.0","0.0","1.48","0.0","4","CD","20110726_181655",
"Kian Ann","K04","0.205","-0.015","-7.3170733","3.0","61.0","0.205","0.22","142.0","0.205","0.205","0.205","0.22","615.0","4",,"20110726_181655",
"Kian Ho","K22","0.22","0.0","0.0","26.0","24.0","0.22","0.23","15.0","0.22","0.22","0.22","0.22","5720.0","4",,"20110726_181655",
"Kim Eng","K50","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","3.08","0.0","8",,"20110726_181655",
"Kinergy","5JT","0.0","0.0","0.0","0.0","16.0","0.116","0.123","11.0","0.0","0.0","0.0","0.118","0.0","2",,"20110726_181655",
"Kingboard","K14","0.275","-0.0050","-1.8181818","462.0","118.0","0.275","0.285","22.0","0.275","0.285","0.275","0.28","127325.0","2",,"20110726_181655",
"KingsmenC","5MZ","0.57","0.0","0.0","100.0","75.0","0.57","0.575","10.0","0.57","0.57","0.57","0.57","57000.0","A",,"20110726_181655",
"KingWan","554","0.18","-0.0020","-1.111111","50.0","70.0","0.178","0.18","6.0","0.18","0.18","0.18","0.182","9000.0","3","CD","20110726_181655",
"KitchenCulture","5TI","0.0","0.0","0.0","0.0","62.0","0.315","0.325","112.0","0.0","0.0","0.0","0.325","0.0","4",,"20110726_181655",
"KLW","504","0.0","0.0","0.0","0.0","4322.0","0.0070","0.0090","2721.0","0.0","0.0","0.0","0.0090","0.0","2",,"20110726_181655",
"Koda","5BK","0.0","0.0","0.0","0.0","10.0","0.117","0.128","50.0","0.0","0.0","0.0","0.12","0.0","2",,"20110726_181655",
"Koh Bros","K75","0.225","0.0050","2.2222223","438.0","12.0","0.225","0.23","261.0","0.22","0.225","0.22","0.22","97340.0","3",,"20110726_181655",
"Koon","5DL","0.0","0.0","0.0","0.0","44.0","0.285","0.29","100.0","0.0","0.0","0.0","0.285","0.0","3",,"20110726_181655",
"Koyo","5OC","0.0","0.0","0.0","0.0","100.0","0.051","0.052","2.0","0.0","0.0","0.0","0.05","0.0","A",,"20110726_181655",
"Kreuz","5RK","0.39","0.0050","1.2820513","1843.0","350.0","0.385","0.39","14.0","0.38","0.395","0.38","0.385","714460.0","A",,"20110726_181655",
"KS Energy","578","1.07","0.0","0.0","402.0","375.0","1.07","1.075","289.0","1.07","1.075","1.07","1.07","430230.0","4",,"20110726_181655",
"KSH Hldg","ER0","0.265","0.01","3.773585","344.0","220.0","0.26","0.265","217.0","0.26","0.265","0.26","0.255","90315.0","3","CD","20110726_181655",
"KTL Global","EB7","0.4","0.0050","1.25","4679.0","50.0","0.385","0.4","30.0","0.395","0.4","0.395","0.395","1859765.0","4",,"20110726_181655",
"KXD","K07","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.01","0.0","2",,"20110726_181655",
"Kyodo-All","5BL","0.063","-0.0010","-1.5873016","26802.0","2486.0","0.062","0.063","1489.0","0.064","0.064","0.059","0.064","1633181.0","2",,"20110726_181655",
"L-Jacob^","L15","0.022","0.0020","9.090909","287.0","158.0","0.021","0.032","20.0","0.02","0.022","0.02","0.02","6084.0","2",,"20110726_181655",
"LafeCorp","L05","0.07","-0.0010","-1.4285715","300.0","200.0","0.069","0.071","33.0","0.07","0.07","0.07","0.071","21000.0","2",,"20110726_181655",
"LantroVis","5BH","0.03","0.0","0.0","50.0","86.0","0.03","0.031","462.0","0.03","0.03","0.03","0.03","1500.0","A",,"20110726_181655",
"Lasseters","5EL","0.0","0.0","0.0","0.0","15.0","0.155","0.185","10.0","0.0","0.0","0.0","0.184","0.0","A",,"20110726_181655",
"Latitude","5OY","0.0","0.0","0.0","0.0","50.0","0.21","0.245","100.0","0.0","0.0","0.0","0.22","0.0","2",,"20110726_181655",
"LANKom Elec^","L22","0.0","0.0","0.0","0.0","100.0","0.013","0.025","20.0","0.0","0.0","0.0","0.012","0.0","2",,"20110726_181655",
"LC Dev","L38","0.17","0.0060","3.5294118","5960.0","220.0","0.17","0.171","144.0","0.165","0.172","0.165","0.164","1007528.0","9",,"20110726_181655",
"LeaderEnv","LS9","0.162","0.011","6.7901235","6863.0","117.0","0.162","0.163","32.0","0.155","0.163","0.153","0.151","1091835.0","A",,"20110726_181655",
"Lee KimTah","L25","0.565","0.0","0.0","11.0","45.0","0.565","0.575","15.0","0.565","0.565","0.565","0.565","6215.0","3",,"20110726_181655",
"Leeden","A24","0.43","0.0","0.0","50.0","10.0","0.405","0.43","100.0","0.43","0.43","0.43","0.43","21500.0","2",,"20110726_181655",
"LeeMetal","593","0.0","0.0","0.0","0.0","40.0","0.225","0.23","30.0","0.0","0.0","0.0","0.235","0.0","4",,"20110726_181655",
"Lereno","587","0.0050","0.0","0.0","600.0","13764.0","0.0040","0.0050","4848.0","0.0050","0.0050","0.0050","0.0050","3000.0","2",,"20110726_181655",
"LHT","L10","0.065","-0.035","-53.846157","200.0","50.0","0.071","0.08","56.0","0.08","0.08","0.065","0.1","14732.0","2",,"20110726_181655",
"Li Heng","E9A","0.145","0.0020","1.3793104","1388.0","163.0","0.145","0.146","20.0","0.14","0.146","0.139","0.143","199488.0","2",,"20110726_181655",
"Lian Beng","L03","0.395","0.015","3.7974682","21639.0","1598.0","0.395","0.4","3748.0","0.38","0.4","0.38","0.38","8436985.0","3",,"20110726_181655",
