"Name","Code","Last","Change","%","Vol","Buy Vol","Buy Price","Sell Price","Sell Vol","Open","High","Low","Previous Close","Value","Sector","Remarks","Timestamp"
"Azeus","A69","0.0","0.0","0.0","0.0","62.0","0.057","0.064","35.0","0.0","0.0","0.0","0.064","0.0","A","CD","20110726_181655",
"Aztech","560","0.133","-0.0020","-1.5037594","5.0","10.0","0.133","0.14","10.0","0.133","0.133","0.133","0.135","665.0","2",,"20110726_181655",
"BakerTech","568","0.355","0.0050","1.4084507","2453.0","201.0","0.355","0.36","881.0","0.35","0.36","0.35","0.35","869405.0","2",,"20110726_181655",
"Ban Leong","B26","0.0","0.0","0.0","0.0","10.0","0.12","0.13","10.0","0.0","0.0","0.0","0.135","0.0","4","CD","20110726_181655",
"BanyanTree","B58","0.87","0.01","1.1494253","37.0","10.0","0.87","0.875","14.0","0.87","0.875","0.87","0.86","32220.0","6",,"20110726_181655",
"BBR Hldg","KJ5","0.29","0.0","0.0","80.0","4.0","0.29","0.295","48.0","0.285","0.29","0.285","0.29","23015.0","3",,"20110726_181655",
"Beng Kuang","5MC","0.205","0.0050","2.4390244","849.0","339.0","0.205","0.21","240.0","0.205","0.215","0.205","0.2","176205.0","A",,"20110726_181655",
"Berger","B64","0.0","0.0","0.0","0.0","50.0","0.12","0.125","1.0","0.0","0.0","0.0","0.12","0.0","2",,"20110726_181655",
"BerlianLaju","B66","0.042","0.0","0.0","455.0","150.0","0.041","0.042","4956.0","0.041","0.042","0.041","0.042","18658.0","7",,"20110726_181655",
"Best World","5ER","0.0","0.0","0.0","0.0","2.0","0.187","0.195","50.0","0.0","0.0","0.0","0.188","0.0","4",,"20110726_181655",
"Beyonics","B19","0.23","0.02","8.695652","6718.0","570.0","0.225","0.23","28.0","0.215","0.235","0.21","0.21","1527335.0","2",,"20110726_181655",
"BH Global","B32","0.215","0.0","0.0","563.0","170.0","0.215","0.22","87.0","0.215","0.22","0.21","0.215","121085.0","4",,"20110726_181655",
